상품명,가격,행사 정보,이미지 주소,편의점 코드
울트라하드왁스80G,"9,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902806126549_550.jpg,1
셋앤킵스프레이67ML,"4,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902806584028_030.jpg,1
남성스니커즈2매(믹스),"5,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809311490355_356.jpg,1
남녀바닥쿠션덧신(회색),"4,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809311490645_003.jpg,1
여성풋커버살구,"4,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809311490485_488.jpg,1
기름종이(필름)70매,"3,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902806214284_285.jpg,1
슈퍼하드젤60G,"3,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902806584349.jpg,1
그란지매트왁스15G,"4,400",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902806126464_465.jpg,1
루즈셔플왁스80G,"9,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902806125573_575.jpg,1
스파이키왁스80G,"9,800",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902806125337_002.jpg,1
프로틴컨디셔너480ML,"12,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801051292909_001.jpg,1
티트리에센셜마스크1P,"2,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809615056967_001.jpg,1
데미지샴푸530ML,"15,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8806403068379_382.jpg,1
립테라피로지립스7G,"5,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801166270250_001.jpg,1
립테라피코코아버터7G,"5,500",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801619049884_002.jpg,1
립테라피로지립스스틱,"5,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801619047545_001.jpg,1
남성스마트덧신(좌우입체),"3,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809311491963_001.jpg,1
휴대용수건,"2,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809311492038_001.jpg,1
립케어스트로베리,"4,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4005808372881_884.jpg,1
클렌징티슈10매,"3,800",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_4902806421552_003.jpg,1
실크리페어샤이닝샴푸400ML,"11,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801051147636_638.jpg,1
실크베이비파우더샴푸400ML,"11,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801051018868_001.jpg,1
핑크솔트시카샴푸,"7,000",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801051299274_001.jpg,1
퍼퓸러브미샴푸400ML,"11,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801051152845_846.jpg,1
프로틴볼륨샴푸480ML,"12,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801051307023_001.jpg,1
프로틴샴푸480ML,"12,900",ONE_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801051292916_001.jpg,1
유기농순면커버중형14P,"8,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_859306006502_002.jpg,1
초코비모나카140ML,"4,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8809286121582_001.jpg,1
베이비오일125ML,"6,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801008021200_003.jpg,1
존슨즈베이비핑크로션100ML,"6,000",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801008002858_003.jpg,1
스트레스릴리프핸드크림,"8,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801008005910_001.jpg,1
에너자이징핸드크림50G,"8,900",TWO_PLUS_ONE,https://image.woodongs.com/imgsvr/item/GD_8801008005903_001.jpg,1
