상품명,카테고리,가격,행사 정보,중량,칼로리,탄수화물,단백질,지방,나트륨,편의점 코드,이미지 주소
크림브륄레,간편식사,"2,700",,34,150,21,2,6,20,1,https://image.woodongs.com/imgsvr/item/GD_8801069418339_002.jpg
인절미빙수,아이스크림,"3,500",2+1,260,240,51,3,2.8,50,1,https://image.woodongs.com/imgsvr/item/GD_8805584224710_001.jpg
딸기빙수,아이스크림,"3,500",2+1,280,114,17,2,5,42,1,https://image.woodongs.com/imgsvr/item/GD_8805584224734_001.jpg
끌레도르쿠키앤초코,아이스크림,"2,500",2+1,90,265,28,4,15,80,1,https://image.woodongs.com/imgsvr/item/GD_8801104670029_003.jpg
아이스가이피치,아이스크림,"2,500",2+1,200,10,2,0,0.2,25,1,https://image.woodongs.com/imgsvr/item/GD_8809713220093_002.jpg
국화빵,간편식사,"2,200",2+1,80,242,43,6,4.8,192,1,https://image.woodongs.com/imgsvr/item/GD_8801118251269_272.jpg
밀크티,식품,"1,700",2+1,500,120,21,3,2.8,35,1,https://image.woodongs.com/imgsvr/item/GD_4711162987042_001.jpg
프렌치카페카라멜마키아또,음료,"2,100",2+1,175,75,16,1,1,55,1,https://image.woodongs.com/imgsvr/item/GD_8801069175621_626.jpg
따옴사과주스,음료,"2,200",2+1,730,45,11,0,0,15,1,https://image.woodongs.com/imgsvr/item/GD_8801104500647_648.jpg
따옴오렌지주스,음료,"2,200",2+1,220,100,21,2,0.8,30,1,https://image.woodongs.com/imgsvr/item/GD_8801104500623_624.jpg
타이거슈가흑당밀크티,식품,"2,700",2+1,300,220,32,5,8,150,1,https://image.woodongs.com/imgsvr/item/GD_8801155741280_002.jpg
오늘의과일야채ABC,음료,"1,600",2+1,190,85,20,0.8,0,75,1,https://image.woodongs.com/imgsvr/item/GD_8801104667173_002.jpg
오늘의과일야채사과,음료,"1,600",2+1,190,80,20,0.6,0,65,1,https://image.woodongs.com/imgsvr/item/GD_8801104501422_002.jpg
바나나우유,식품,"1,800",2+1,225,125,17,4.6,4.2,90,1,https://image.woodongs.com/imgsvr/item/GD_8801115137290_001.jpg
트러플감자칩,과자,"2,000",2+1,130,685,71,10,40,950,1,https://image.woodongs.com/imgsvr/item/GD_8801019611537_003.jpg
숯불구이맛후랑크,식품,"1,900",2+1,70,175,10,9,11,420,1,https://image.woodongs.com/imgsvr/item/GD_8801074006897_001.jpg
쁘띠첼포도,과자,"2,200",2+1,90,70,17,0,0,30,1,https://image.woodongs.com/imgsvr/item/GD_8801007677842_001.jpg
쁘띠첼밀감,과자,"2,200",2+1,90,70,17,0,0,20,1,https://image.woodongs.com/imgsvr/item/GD_8801007677743_001.jpg
쁘띠첼복숭아,과자,"2,200",2+1,270,75,19,0,0,13,1,https://image.woodongs.com/imgsvr/item/GD_8801007677781_001.jpg
그린티,아이스크림,"5,000",2+1,750,170,26,3,6,51,1,https://image.woodongs.com/imgsvr/item/GD_8801008700358_002.jpg
