상품명,카테고리,중량,칼로리,단백질,지방,탄수화물,나트륨,가격,행사 정보,편의점 코드,상품 이미지
유바 샤오마이,만두,500,91,12,1.4,8,540,,,,
중국식 라비올리,만두,300,146,9,1.4,24,392,,,,
차이브 덤플링,만두,1000,162,8,6.1,19,383,,,,
프림 쇼트닝,쇼트닝,15000,900,0,100,0,0,,,,
올리오 디 올리바 오일,올리브유,5000,824,0,91.6,0,0,,,,
올리오 엑스트라 버진 디 올리바,올리브유,1000,824,0,91.6,0,0,,,,
올리베티 데 코라토 올리오 엑스트라 버진 디 올리바 바이오,올리브유,500,828,0,92,0,0,,,,
엑스트라버진 올리브 오일,올리브유,500,824,0,91.6,0,0,,,,
레몬 마멀레이드,잼,360,48,0,0,12,0,,,,
블러드오렌지 마멀레이드,잼,360,48,0,0,12,0,,,,
비터오렌지 마멀레이드,잼,360,48,0,0,12,0,,,,
오렌지 마멀레이드,잼,360,48,0,0,12,0,,,,
오렌지 앤 시나몬 마멀레이드,잼,360,48,0,0,12,0,,,,
포도즙으로 만든 딸기 오렌지 잼,잼,360,48,0,0,12,0,,,,
포도즙으로 만든 레몬 마멀레이드,잼,360,48,0,0,12,0,,,,
포도즙으로 만든 블러드오렌지 마멀레이드,잼,360,48,0,0,12,0,,,,
이리아다 엑스트라버진 올리브유,올리브유,1000,819,0,91,0,0,,,,
이리아다 유기농 엑스트라버진 올리브오일 피디오,올리브유,500,819,0,91,0,0,,,,
이리아다 유기농 엑스트라버진 올리브유,올리브유,500,819,0,91,0,0,,,,
파인 프렌치 빈스,과/채가공품,2270,30,1,0,6,0,,,,
블리스 딸기 넥타,과/채음료,1000,46,0,0,11.5,0,,,,
블리스 레몬 넥타,과/채음료,1000,44.8,0,0,11.2,0,,,,
블리스 복숭아 넥타,과/채음료,1000,48,0,0,12,0,,,,
블리스 블랙커런트 넥타,과/채음료,1000,44,0,0,11,0,,,,
블리스 사과 쥬스,과/채주스,1000,44.8,0,0,11.2,0,,,,
블리스 사과 쥬스 음료,과/채음료,1000,44.8,0,0,11.2,0,,,,
블리스 살구 넥타,과/채음료,1000,48,0,0,12,0,,,,
블리스 석류 쥬스,과/채주스,1000,56,0,0,14,0,,,,
블리스 석류-체리-자두 넥타,과/채음료,1000,47.2,0,0,11.8,5.3,,,,
블리스 오렌지 넥타,과/채음료,1000,44.8,0,0,11.2,22,,,,
블리스 와일드베리 넥타,과/채음료,1000,46,0,0,11.5,0,,,,
블리스 체리,과/채음료,1000,48,0,0,12,0,,,,
블리스 체리-블랙커런트 넥타,혼합음료,1000,44.8,0,0,11.2,10.5,,,,
블리스 토마토쥬스 음료,과/채음료,1000,22,0,0,5.5,50,,,,
블리스 파인애플 넥타,과/채음료,1000,50.4,0,0,12.6,22,,,,
스트로베리 스프레드,잼,750,225,0.5,0.3,55,12,,,,
가타유기농 엑스트라버진 올리브유,올리브유,500,16.65,0,1.85,0,0,,,,
엑스트라버진 올리브유 갈릭향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 레몬향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 바질향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 버섯향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 오렌지향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 칠리향,향미유,250,41.85,0,4.65,0,0,,,,
엑스트라버진 올리브유 커피향,향미유,250,41.85,0,4.65,0,0,,,,
유기농 엑스트라버진 올리브유,올리브유,500,16.65,0,1.85,0,0,,,,
유기농 엑스트라버진 올리브유(리미티드 에디션 레전드),올리브유,500,16.65,0,1.85,0,0,,,,
유기농키즈 엑스트라버진 올리브유,올리브유,250,16.65,0,1.85,0,0,,,,
세퍼레이트,혼합식용유,18000,900,0,100,0,0,,,,
크릴오일,어유,200000,8.4,0,99.06,0,0.16,,,,
메트릭스골드,음료베이스,525,250,0,0,62.6,11.2,,,,
몽스아이스버그,캔디류,3000,390,0,0,98,50,,,,
술탄 터키쉬딜라이트 위드 초콜릿,캔디류,5000,396,3.6,7.2,80,0,,,,
제제르예 헤이즐넛,캔디류,5000,396,3.6,7.2,80,0,,,,
터키쉬 딜라이트 위드 로즈아로마,캔디류,5000,370,0,0,93,0,,,,
"터키쉬 딜라이트 위드 믹스아로마(레몬향,오렌지향,로즈향,사과향)",캔디류,5000,368,0,0,92,0,,,,
터키쉬 딜라이트 위드 피스타치오,캔디류,5000,396,3,7,80,0,,,,
"터키쉬딜라이트 (로즈향, 바나나향, 키위향, 석류향)",캔디류,5000,271,2.07,0,67.3,277,,,,
"터키쉬딜라이트 미니 (로즈향, 레몬향, 민트향, 오렌지향)",캔디류,5000,368,0,0,92,0,,,,
"터키쉬딜라이트 피스타치오, 장미잎 (석류향)",캔디류,5000,372,0,0,92,0,,,,
"터키쉬딜라이트 피스타치오,코코넛",캔디류,5000,396,3.6,7.2,80,0,,,,
