상품명,가격,카테고리,중량,칼로리,단백질,지방,탄수화물,나트륨,행사 정보,편의점 코드,이미지 주소
폴라포포도,"1,800",아이스크림,120,70,0,0.4,17,35,1+1,1,https://image.woodongs.com/imgsvr/item/GD_8809713220048_004.jpg
인절미빙수,"3,500",아이스크림,260,240,3,2.8,51,50,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8805584224710_001.jpg
딸기빙수,"3,500",아이스크림,280,114,2,5,17,42,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8805584224734_001.jpg
더블팅,"1,800",아이스크림,130,164,0,0,41,22,1+1,1,https://image.woodongs.com/imgsvr/item/GD_8805584125130_132.jpg
끌레도르쿠키앤초코,"2,500",아이스크림,90,265,4,15,28,80,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8801104670029_003.jpg
아이스가이피치,"2,500",아이스크림,200,10,0,0.2,2,25,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8809713220093_002.jpg
본가찰옥수수,"2,200",아이스크림,700,165,2,7,23,95,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8801062435692_695.jpg
국화빵,"2,200",식품,80,242,6,4.8,43,192,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8801118251269_272.jpg
쿠키오,"2,200",아이스크림,130,195,3,8,27,140,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8801118251405_408.jpg
누가바,"1,500",아이스크림,70,140,2,9,13,40,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8809713220123_003.jpg
쌍쌍바,"1,500",아이스크림,402,120,2,4.8,17,25,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8809713220031_002.jpg
밀크티,"1,700",음료,500,120,3,2.8,21,35,2+1,1,https://image.woodongs.com/imgsvr/item/GD_4711162987042_001.jpg
달고나라떼,"2,300",음료,300,220,5,4.7,39,90,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8801121029176_002.jpg
우유속에코코아,"1,800",음료,900,250,8,9,34,145,2+1,1,https://image.woodongs.com/imgsvr/item/GD_8801121103661_664.jpg
