상품명,가격,행사 정보,이미지 주소
액티비아업플레인210ml,"2,200",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8809274/510916.1.jpg
액티비아업딸기210ml,"2,200",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8809274/510893.1.jpg
수박우유300ml,"1,750",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8801189/203884.1.jpg
액티비아업복숭아210ml,"2,200",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8809274/512651.1.jpg
아메리카노오리지널2,"2,300",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8809350/888342.1.jpg
아메리카노마일드280,"2,300",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8809350/888359.1.jpg
요플레프로틴플레인210ml,"3,200",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8801104/666626.1.jpg
요플레프로틴딸기바나나,"3,200",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8801104/666640.1.jpg
오구딸기타임200ml,"1,100",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8801104/671842.1.jpg
오구초코타임200ml,"1,100",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8801104/671859.1.jpg
아이스티복숭아300ml,"1,200",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8801104/671002.1.jpg
아이스티레몬300ml,"1,200",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8801104/671019.1.jpg
액티비아스무디키위사과150,"2,000",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8809274/514969.1.jpg
액티비아스무디딸기바나나1,"2,000",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8809274/514945.1.jpg
요플레프로틴MAX210ml,"3,500",TWO_PLUS_ONE,https://www.7-eleven.co.kr/upload/product/8801104/673747.1.jpg
